Hugo_Symbol,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,Splice_Site,Translation_Start_Site,total,MutatedSamples,AlteredSamples,MutatedRate
MUC5B,1,0,0,0,27,0,0,1,0,29,29,29,0.031868131868131866
XIRP2,0,0,0,0,32,4,0,0,0,36,28,28,0.03076923076923077
PRUNE2,0,0,0,0,32,3,0,0,0,35,28,28,0.03076923076923077
MXRA5,1,0,1,0,29,3,0,0,0,34,28,28,0.03076923076923077
DNAH17,1,1,0,0,29,1,0,0,0,32,28,28,0.03076923076923077
PIK3R1,0,0,13,6,9,2,0,0,0,30,28,28,0.03076923076923077
FAT1,2,0,0,0,25,2,0,0,0,29,28,28,0.03076923076923077
MYH9,2,0,0,1,23,2,0,1,0,29,28,28,0.03076923076923077
AKAP9,2,0,0,0,27,5,0,0,0,34,27,27,0.02967032967032967
LRP1,0,2,0,0,28,3,0,0,0,33,27,27,0.02967032967032967
KIAA1109,0,1,0,0,26,3,0,2,0,32,26,26,0.02857142857142857
CSMD1,0,0,0,0,28,3,0,0,0,31,26,26,0.02857142857142857
HERC2,0,0,1,0,28,2,0,0,0,31,26,26,0.02857142857142857
CUBN,2,0,0,0,26,2,0,0,0,30,26,26,0.02857142857142857
DNAH8,3,0,0,0,22,4,0,1,0,30,26,26,0.02857142857142857
DNAH9,0,1,0,0,26,2,0,1,0,30,26,26,0.02857142857142857
LRP1B,1,0,0,0,29,0,0,0,0,30,26,26,0.02857142857142857
BIRC6,2,0,1,0,25,1,0,0,0,29,26,26,0.02857142857142857
FMN2,0,0,0,0,25,3,0,0,0,28,26,26,0.02857142857142857
FOXA1,4,1,2,0,21,0,0,0,0,28,26,26,0.02857142857142857
AKT1,0,0,0,0,26,0,0,0,0,26,26,26,0.02857142857142857
FCGBP,0,0,0,0,26,0,0,0,0,26,26,26,0.02857142857142857
AHNAK,1,0,0,0,33,0,0,0,0,34,25,25,0.027472527472527472
ATRX,2,0,1,0,27,2,0,1,0,33,25,25,0.027472527472527472
MAP1A,3,1,0,0,22,3,0,0,0,29,25,25,0.027472527472527472
PRKDC,0,1,0,0,24,3,0,1,0,29,25,25,0.027472527472527472
VPS13C,0,0,0,0,24,2,0,3,0,29,25,25,0.027472527472527472
AHCTF1,1,0,0,0,24,2,0,0,0,27,25,25,0.027472527472527472
DYNC1H1,1,1,0,0,22,0,0,3,0,27,25,25,0.027472527472527472
SVEP1,0,0,1,0,24,1,0,1,0,27,25,25,0.027472527472527472
CSMD2,0,0,0,0,25,1,0,0,0,26,25,25,0.027472527472527472
TAF1,0,0,1,0,22,3,0,0,0,26,25,25,0.027472527472527472
RYR1,1,2,0,0,20,1,0,1,0,25,25,25,0.027472527472527472
CMYA5,1,0,0,0,33,3,0,0,0,37,24,24,0.026373626373626374
HERC1,3,0,0,0,24,3,0,0,0,30,24,24,0.026373626373626374
ANK2,0,0,0,0,26,2,0,1,0,29,24,24,0.026373626373626374
TEX15,3,1,0,0,23,2,0,0,0,29,24,24,0.026373626373626374
DOCK11,3,1,0,0,19,2,0,2,0,27,24,24,0.026373626373626374
VPS13B,0,0,0,0,25,2,0,0,0,27,24,24,0.026373626373626374
COL12A1,2,0,0,0,22,2,0,0,0,26,24,24,0.026373626373626374
GON4L,1,0,0,0,22,2,0,1,0,26,24,24,0.026373626373626374
DYNC2H1,2,1,0,0,20,2,0,0,0,25,24,24,0.026373626373626374
PTPRD,0,0,0,0,21,4,0,0,0,25,24,24,0.026373626373626374
UTRN,0,0,0,0,17,5,0,2,0,24,24,24,0.026373626373626374
ANK3,2,1,0,0,28,0,0,0,0,31,23,23,0.025274725274725275
ASPM,3,0,0,0,25,0,0,1,0,29,23,23,0.025274725274725275
F5,0,0,0,0,25,1,0,2,0,28,23,23,0.025274725274725275
LYST,0,0,0,0,22,5,0,1,0,28,23,23,0.025274725274725275
CHD4,0,0,0,0,22,4,0,1,0,27,23,23,0.025274725274725275
KMT2A,7,0,0,0,11,5,0,2,0,25,23,23,0.025274725274725275
TENM1,0,0,0,0,24,1,0,0,0,25,23,23,0.025274725274725275
ANKRD12,9,0,0,0,10,4,0,1,0,24,23,23,0.025274725274725275
BRCA1,4,0,1,0,11,5,0,2,0,23,23,23,0.025274725274725275
SACS,3,0,0,0,25,4,0,1,0,33,22,22,0.024175824175824177
CEP350,1,0,0,0,21,5,0,0,0,27,22,22,0.024175824175824177
PAPPA2,1,0,0,0,23,0,0,2,0,26,22,22,0.024175824175824177
BRCA2,4,0,2,0,16,2,0,1,0,25,22,22,0.024175824175824177
SPHKAP,0,0,0,0,23,1,0,1,0,25,22,22,0.024175824175824177
UNC13C,1,1,2,0,18,3,0,0,0,25,22,22,0.024175824175824177
F8,1,2,0,0,18,3,0,0,0,24,22,22,0.024175824175824177
CBFB,3,1,0,0,12,5,0,1,1,23,22,22,0.024175824175824177
HYDIN,0,0,0,0,20,2,0,1,0,23,22,22,0.024175824175824177
MED12,1,1,1,1,15,4,0,0,0,23,22,22,0.024175824175824177
PREX2,0,0,0,0,23,0,0,0,0,23,22,22,0.024175824175824177
USP34,0,0,0,0,19,1,0,3,0,23,22,22,0.024175824175824177
USP9X,2,2,0,0,16,3,0,0,0,23,22,22,0.024175824175824177
CHD6,0,0,1,0,16,4,0,1,0,22,22,22,0.024175824175824177
PDZD2,0,0,0,0,20,0,0,2,0,22,22,22,0.024175824175824177
BAZ2B,2,0,0,0,22,2,0,0,0,26,21,21,0.023076923076923078
SCN10A,1,0,0,0,22,2,0,0,0,25,21,21,0.023076923076923078
ADGRG4,1,1,0,0,22,0,0,0,0,24,21,21,0.023076923076923078
CENPE,0,0,0,0,22,2,0,0,0,24,21,21,0.023076923076923078
DNAH5,0,0,0,0,20,2,0,2,0,24,21,21,0.023076923076923078
NIPBL,2,3,0,0,15,4,0,0,0,24,21,21,0.023076923076923078
PKHD1,0,1,0,0,17,2,0,3,0,23,21,21,0.023076923076923078
RP1,0,1,1,0,17,4,0,0,0,23,21,21,0.023076923076923078
SRCAP,3,1,0,0,16,3,0,0,0,23,21,21,0.023076923076923078
UBR4,1,0,0,0,19,1,0,2,0,23,21,21,0.023076923076923078
ATM,1,1,0,0,13,5,0,2,0,22,21,21,0.023076923076923078
NOTCH2,2,1,0,0,17,2,0,0,0,22,21,21,0.023076923076923078
RB1,2,2,0,0,5,11,0,2,0,22,21,21,0.023076923076923078
TG,0,0,1,0,20,1,0,0,0,22,21,21,0.023076923076923078
ASXL3,3,0,0,0,18,0,0,0,0,21,21,21,0.023076923076923078
GRIN2A,3,1,0,0,15,2,0,0,0,21,21,21,0.023076923076923078
DNAH10,3,0,0,0,22,2,0,0,0,27,20,20,0.02197802197802198
ZDBF2,2,0,0,0,22,2,0,0,0,26,20,20,0.02197802197802198
DNAH7,2,1,0,0,15,5,0,1,0,24,20,20,0.02197802197802198
TCHH,0,0,1,0,22,1,0,0,0,24,20,20,0.02197802197802198
VPS13D,0,0,0,0,19,2,0,2,0,23,20,20,0.02197802197802198
AFF2,0,0,0,0,20,1,0,1,0,22,20,20,0.02197802197802198
BRWD1,1,1,0,0,17,3,0,0,0,22,20,20,0.02197802197802198
CREBBP,1,2,0,0,18,1,0,0,0,22,20,20,0.02197802197802198
DNAH2,1,0,0,0,20,0,0,1,0,22,20,20,0.02197802197802198
ERBB2,0,0,0,1,21,0,0,0,0,22,20,20,0.02197802197802198
FAT4,1,0,0,0,19,2,0,0,0,22,20,20,0.02197802197802198
HIVEP1,0,0,0,0,17,4,0,1,0,22,20,20,0.02197802197802198
DNAH3,0,0,0,0,20,0,0,1,0,21,20,20,0.02197802197802198
FLG2,0,0,0,0,19,2,0,0,0,21,20,20,0.02197802197802198
PCNT,0,0,0,0,20,1,0,0,0,21,20,20,0.02197802197802198
TLN1,1,0,0,0,17,3,0,0,0,21,20,20,0.02197802197802198
TPR,0,0,0,0,20,0,0,1,0,21,20,20,0.02197802197802198
ATP10B,1,0,0,0,17,2,0,0,0,20,20,20,0.02197802197802198
KIF4A,0,0,0,0,16,3,0,1,0,20,20,20,0.02197802197802198
NCOA6,1,0,0,0,15,4,0,0,0,20,20,20,0.02197802197802198
NEXMIF,1,0,0,0,19,0,0,0,0,20,20,20,0.02197802197802198
NRXN2,1,6,0,0,13,0,0,0,0,20,20,20,0.02197802197802198
PIWIL1,0,1,0,0,16,3,0,0,0,20,20,20,0.02197802197802198
UBR5,1,0,0,0,19,0,0,0,0,20,20,20,0.02197802197802198
FAT2,1,0,1,1,19,2,0,0,0,24,19,19,0.020879120879120878
ASH1L,4,0,1,0,14,3,0,1,0,23,19,19,0.020879120879120878
ZNF292,3,0,0,0,17,3,0,0,0,23,19,19,0.020879120879120878
DCHS1,0,0,0,0,22,0,0,0,0,22,19,19,0.020879120879120878
TRPM6,1,0,0,0,19,2,0,0,0,22,19,19,0.020879120879120878
FBN1,0,0,0,0,20,1,0,0,0,21,19,19,0.020879120879120878
FRAS1,1,0,0,0,19,1,0,0,0,21,19,19,0.020879120879120878
LAMA2,1,0,0,0,19,1,0,0,0,21,19,19,0.020879120879120878
PEG3,0,1,0,0,19,1,0,0,0,21,19,19,0.020879120879120878
KDM6A,3,2,0,0,9,1,0,5,0,20,19,19,0.020879120879120878
CHD7,0,0,1,0,17,1,0,0,0,19,19,19,0.020879120879120878
CTCF,2,0,0,0,11,4,0,2,0,19,19,19,0.020879120879120878
LAMA1,0,0,0,0,18,1,0,0,0,19,19,19,0.020879120879120878
MAP2,0,0,0,0,16,3,0,0,0,19,19,19,0.020879120879120878
MEGF8,2,0,1,0,13,3,0,0,0,19,19,19,0.020879120879120878
MUC4,1,0,0,0,17,1,0,0,0,19,19,19,0.020879120879120878
MYH8,0,0,0,0,19,0,0,0,0,19,19,19,0.020879120879120878
MYO18B,3,0,0,0,16,0,0,0,0,19,19,19,0.020879120879120878
COL14A1,1,0,0,0,22,2,0,2,0,27,18,18,0.01978021978021978
DMXL2,1,0,0,0,21,2,0,0,0,24,18,18,0.01978021978021978
ICE1,2,0,1,0,16,3,0,0,0,22,18,18,0.01978021978021978
SMG1,1,1,0,0,15,5,0,0,0,22,18,18,0.01978021978021978
DMXL1,2,0,0,0,15,3,0,1,0,21,18,18,0.01978021978021978
OTOGL,0,0,0,0,20,1,0,0,0,21,18,18,0.01978021978021978
PCDH15,0,1,0,0,19,1,0,0,0,21,18,18,0.01978021978021978
CAD,1,0,0,0,17,1,0,1,0,20,18,18,0.01978021978021978
ERBB3,0,0,0,0,20,0,0,0,0,20,18,18,0.01978021978021978
RANBP2,1,0,0,0,17,2,0,0,0,20,18,18,0.01978021978021978
SCN2A,2,0,0,0,18,0,0,0,0,20,18,18,0.01978021978021978
CACNA1A,1,0,0,0,16,2,0,0,0,19,18,18,0.01978021978021978
CPS1,0,0,0,0,18,0,0,1,0,19,18,18,0.01978021978021978
FAM47C,1,0,0,0,17,1,0,0,0,19,18,18,0.01978021978021978
FREM2,1,0,0,0,18,0,0,0,0,19,18,18,0.01978021978021978
FRMPD4,1,0,0,0,17,1,0,0,0,19,18,18,0.01978021978021978
MROH2B,0,0,0,0,18,1,0,0,0,19,18,18,0.01978021978021978
MYO10,1,1,0,0,16,1,0,0,0,19,18,18,0.01978021978021978
MYO16,0,0,1,0,17,1,0,0,0,19,18,18,0.01978021978021978
SI,2,0,0,0,16,1,0,0,0,19,18,18,0.01978021978021978
TENM2,0,0,0,0,18,1,0,0,0,19,18,18,0.01978021978021978
ARID1B,2,0,0,0,15,1,0,0,0,18,18,18,0.01978021978021978
PHKA2,1,0,0,0,14,0,0,3,0,18,18,18,0.01978021978021978
GOLGB1,0,0,0,0,20,3,0,0,0,23,17,17,0.01868131868131868
BSN,0,0,0,0,17,4,0,0,0,21,17,17,0.01868131868131868
MGA,1,0,0,0,15,4,0,0,0,20,17,17,0.01868131868131868
REV3L,0,0,0,0,18,2,0,0,0,20,17,17,0.01868131868131868
ABCA8,1,0,0,0,16,0,0,2,0,19,17,17,0.01868131868131868
ALMS1,0,0,0,0,18,1,0,0,0,19,17,17,0.01868131868131868
CNTNAP5,0,0,0,0,19,0,0,0,0,19,17,17,0.01868131868131868
LRRK2,2,1,0,0,12,3,0,1,0,19,17,17,0.01868131868131868
SVIL,1,0,0,0,15,1,0,2,0,19,17,17,0.01868131868131868
TAF1L,0,1,0,0,17,1,0,0,0,19,17,17,0.01868131868131868
AHNAK2,1,0,0,0,16,1,0,0,0,18,17,17,0.01868131868131868
ATAD2B,1,0,0,0,11,5,0,1,0,18,17,17,0.01868131868131868
FER1L6,0,0,0,0,14,1,0,3,0,18,17,17,0.01868131868131868
FLNC,2,1,0,0,14,1,0,0,0,18,17,17,0.01868131868131868
FREM1,0,0,1,0,17,0,0,0,0,18,17,17,0.01868131868131868
HECW1,1,0,0,0,16,1,0,0,0,18,17,17,0.01868131868131868
HRNR,0,0,0,0,16,2,0,0,0,18,17,17,0.01868131868131868
KCNT2,0,0,0,0,11,5,0,2,0,18,17,17,0.01868131868131868
LCT,1,0,0,0,16,1,0,0,0,18,17,17,0.01868131868131868
PLXNA2,0,0,0,0,18,0,0,0,0,18,17,17,0.01868131868131868
THSD7A,0,0,0,0,17,1,0,0,0,18,17,17,0.01868131868131868
UGGT2,1,0,0,0,13,3,0,1,0,18,17,17,0.01868131868131868
ANKRD17,0,0,0,0,16,1,0,0,0,17,17,17,0.01868131868131868
CACNA1F,0,0,0,0,15,1,0,1,0,17,17,17,0.01868131868131868
CEP170,1,0,1,0,15,0,0,0,0,17,17,17,0.01868131868131868
COL6A3,0,0,0,0,13,2,0,2,0,17,17,17,0.01868131868131868
HTT,0,0,0,0,16,1,0,0,0,17,17,17,0.01868131868131868
MTOR,0,0,0,0,16,1,0,0,0,17,17,17,0.01868131868131868
ROS1,0,0,0,0,13,2,0,2,0,17,17,17,0.01868131868131868
SEMA3D,1,0,0,0,13,3,0,0,0,17,17,17,0.01868131868131868
SPTB,1,0,0,0,15,0,0,1,0,17,17,17,0.01868131868131868
THSD7B,0,0,0,0,15,2,0,0,0,17,17,17,0.01868131868131868
TNRC6B,2,0,0,0,12,3,0,0,0,17,17,17,0.01868131868131868
UNC5D,1,0,0,0,13,2,0,1,0,17,17,17,0.01868131868131868
CENPF,2,0,1,0,15,1,0,1,0,20,16,16,0.017582417582417582
DSP,1,0,0,0,17,2,0,0,0,20,16,16,0.017582417582417582
HELZ,2,0,0,0,12,5,0,1,0,20,16,16,0.017582417582417582
WNK3,0,0,0,0,16,4,0,0,0,20,16,16,0.017582417582417582
KIAA1210,0,0,0,0,18,1,0,0,0,19,16,16,0.017582417582417582
MRC1,1,0,0,0,14,3,0,0,0,18,16,16,0.017582417582417582
PHF3,1,1,0,0,14,2,0,0,0,18,16,16,0.017582417582417582
PKD1L1,0,0,0,0,17,1,0,0,0,18,16,16,0.017582417582417582
QSER1,0,1,0,0,17,0,0,0,0,18,16,16,0.017582417582417582
SCN1A,0,0,0,0,17,0,0,1,0,18,16,16,0.017582417582417582
SETD2,2,1,0,0,12,3,0,0,0,18,16,16,0.017582417582417582
TASOR2,0,0,1,0,14,3,0,0,0,18,16,16,0.017582417582417582
TNXB,0,0,0,0,18,0,0,0,0,18,16,16,0.017582417582417582
VCAN,1,0,0,0,15,1,0,1,0,18,16,16,0.017582417582417582
CNOT1,2,0,1,0,10,3,0,1,0,17,16,16,0.017582417582417582
COL22A1,0,0,0,0,13,1,0,3,0,17,16,16,0.017582417582417582
DNAH1,1,0,0,0,16,0,0,0,0,17,16,16,0.017582417582417582
EPG5,2,0,0,0,12,3,0,0,0,17,16,16,0.017582417582417582
GCC2,2,1,0,0,11,3,0,0,0,17,16,16,0.017582417582417582
GRIA3,0,0,0,0,14,1,0,2,0,17,16,16,0.017582417582417582
KIF16B,0,0,0,0,15,1,0,1,0,17,16,16,0.017582417582417582
LRBA,0,0,0,0,16,1,0,0,0,17,16,16,0.017582417582417582
PCDH19,1,0,0,0,16,0,0,0,0,17,16,16,0.017582417582417582
PCNX2,0,0,0,0,14,3,0,0,0,17,16,16,0.017582417582417582
RAD54B,0,0,0,0,14,3,0,0,0,17,16,16,0.017582417582417582
SDK1,1,0,0,0,16,0,0,0,0,17,16,16,0.017582417582417582
ZP4,0,0,0,0,15,2,0,0,0,17,16,16,0.017582417582417582
ABCA12,2,0,0,0,13,0,0,1,0,16,16,16,0.017582417582417582
ASTN1,0,1,0,0,13,1,0,1,0,16,16,16,0.017582417582417582
CIT,0,0,0,0,16,0,0,0,0,16,16,16,0.017582417582417582
COL6A6,1,0,0,0,15,0,0,0,0,16,16,16,0.017582417582417582
FLNB,4,1,1,1,9,0,0,0,0,16,16,16,0.017582417582417582
HCFC1,0,0,0,0,15,0,0,1,0,16,16,16,0.017582417582417582
ITPR2,0,0,0,0,15,0,0,1,0,16,16,16,0.017582417582417582
KMT2E,0,1,0,0,13,2,0,0,0,16,16,16,0.017582417582417582
MIA2,0,0,0,0,14,2,0,0,0,16,16,16,0.017582417582417582
MYH14,1,0,0,0,14,1,0,0,0,16,16,16,0.017582417582417582
MYO7B,0,0,0,0,13,3,0,0,0,16,16,16,0.017582417582417582
NAV3,0,0,0,0,12,4,0,0,0,16,16,16,0.017582417582417582
NCKAP5,0,0,0,0,13,3,0,0,0,16,16,16,0.017582417582417582
RAPGEF6,0,0,0,0,13,3,0,0,0,16,16,16,0.017582417582417582
SPTBN2,0,0,0,0,15,1,0,0,0,16,16,16,0.017582417582417582
TBC1D4,2,0,0,0,11,3,0,0,0,16,16,16,0.017582417582417582
ZAN,2,0,0,0,13,1,0,0,0,16,16,16,0.017582417582417582
ZNF536,1,1,0,0,13,1,0,0,0,16,16,16,0.017582417582417582
SETX,0,0,1,0,18,1,0,1,0,21,15,15,0.016483516483516484
JMJD1C,0,1,0,0,13,6,0,0,0,20,15,15,0.016483516483516484
SHROOM2,0,1,0,0,18,0,0,0,0,19,15,15,0.016483516483516484
TACC2,1,0,0,0,18,0,0,0,0,19,15,15,0.016483516483516484
ANKRD11,2,1,0,0,13,2,0,0,0,18,15,15,0.016483516483516484
BOD1L1,0,0,0,0,16,2,0,0,0,18,15,15,0.016483516483516484
DOCK10,2,1,0,0,15,0,0,0,0,18,15,15,0.016483516483516484
PLCB4,2,1,1,0,13,0,0,1,0,18,15,15,0.016483516483516484
RLF,1,1,0,0,13,3,0,0,0,18,15,15,0.016483516483516484
VPS13A,2,0,0,0,15,1,0,0,0,18,15,15,0.016483516483516484
AFDN,0,0,1,0,12,3,0,1,0,17,15,15,0.016483516483516484
ARFGEF1,0,0,0,0,15,2,0,0,0,17,15,15,0.016483516483516484
ATP7A,0,0,0,1,15,1,0,0,0,17,15,15,0.016483516483516484
CSPP1,1,0,0,0,14,1,0,1,0,17,15,15,0.016483516483516484
DNAJC13,0,0,0,1,13,2,0,1,0,17,15,15,0.016483516483516484
NIN,0,1,0,0,12,3,0,1,0,17,15,15,0.016483516483516484
PLCH1,1,0,0,0,14,2,0,0,0,17,15,15,0.016483516483516484
RIMS2,1,0,0,0,14,2,0,0,0,17,15,15,0.016483516483516484
SPAG17,1,0,0,0,14,2,0,0,0,17,15,15,0.016483516483516484
TENM3,0,0,0,0,14,3,0,0,0,17,15,15,0.016483516483516484
ZFHX3,2,1,0,0,9,5,0,0,0,17,15,15,0.016483516483516484
ZNF462,1,0,0,0,15,1,0,0,0,17,15,15,0.016483516483516484
ABCA9,2,0,0,0,14,0,0,0,0,16,15,15,0.016483516483516484
ABCC9,1,1,0,0,13,0,0,1,0,16,15,15,0.016483516483516484
AKAP6,0,0,0,0,16,0,0,0,0,16,15,15,0.016483516483516484
CDC42BPA,0,0,1,0,12,3,0,0,0,16,15,15,0.016483516483516484
CNTLN,1,0,0,0,13,1,0,1,0,16,15,15,0.016483516483516484
COL7A1,1,0,0,0,13,1,0,1,0,16,15,15,0.016483516483516484
DOCK4,1,1,0,0,13,1,0,0,0,16,15,15,0.016483516483516484
EP300,2,2,0,0,8,4,0,0,0,16,15,15,0.016483516483516484
FLNA,1,0,0,0,15,0,0,0,0,16,15,15,0.016483516483516484
KDM5B,0,0,0,0,14,2,0,0,0,16,15,15,0.016483516483516484
MAGI1,0,0,0,0,15,1,0,0,0,16,15,15,0.016483516483516484
MIA3,1,0,0,0,12,1,0,2,0,16,15,15,0.016483516483516484
MYH1,0,0,0,0,14,2,0,0,0,16,15,15,0.016483516483516484
MYLK,1,0,0,0,12,3,0,0,0,16,15,15,0.016483516483516484
NBAS,0,0,0,0,13,2,0,1,0,16,15,15,0.016483516483516484
NRK,2,0,0,0,13,1,0,0,0,16,15,15,0.016483516483516484
PXDNL,2,0,0,0,10,4,0,0,0,16,15,15,0.016483516483516484
RNF213,1,0,0,0,14,1,0,0,0,16,15,15,0.016483516483516484
RTL9,0,0,0,0,16,0,0,0,0,16,15,15,0.016483516483516484
SCN11A,0,0,0,0,15,1,0,0,0,16,15,15,0.016483516483516484
WDR44,0,0,0,0,12,2,0,2,0,16,15,15,0.016483516483516484
ZNF208,1,0,0,0,14,1,0,0,0,16,15,15,0.016483516483516484
ANK1,0,0,0,0,13,2,0,0,0,15,15,15,0.016483516483516484
ARHGAP31,1,0,0,0,14,0,0,0,0,15,15,15,0.016483516483516484
CASP8,0,0,0,0,11,4,0,0,0,15,15,15,0.016483516483516484
CFH,0,0,0,0,14,1,0,0,0,15,15,15,0.016483516483516484
CRNKL1,0,0,0,0,12,3,0,0,0,15,15,15,0.016483516483516484
EML5,2,0,0,0,11,2,0,0,0,15,15,15,0.016483516483516484
FN1,1,0,0,0,12,1,0,1,0,15,15,15,0.016483516483516484
H3C2,1,0,0,0,12,2,0,0,0,15,15,15,0.016483516483516484
IREB2,0,0,0,0,15,0,0,0,0,15,15,15,0.016483516483516484
MED23,3,0,0,0,6,5,0,1,0,15,15,15,0.016483516483516484
MYO7A,0,0,0,0,13,2,0,0,0,15,15,15,0.016483516483516484
PLXNA4,0,0,0,0,15,0,0,0,0,15,15,15,0.016483516483516484
PRDM10,1,0,0,0,14,0,0,0,0,15,15,15,0.016483516483516484
SCN3A,0,0,1,0,12,2,0,0,0,15,15,15,0.016483516483516484
SF3B1,0,0,0,0,14,1,0,0,0,15,15,15,0.016483516483516484
SHANK1,0,0,1,0,13,1,0,0,0,15,15,15,0.016483516483516484
SPATA31D1,0,0,0,0,15,0,0,0,0,15,15,15,0.016483516483516484
STAG2,0,0,0,0,12,3,0,0,0,15,15,15,0.016483516483516484
TEP1,0,0,0,0,11,4,0,0,0,15,15,15,0.016483516483516484
WDR17,0,1,0,0,13,0,0,1,0,15,15,15,0.016483516483516484
APC,2,0,0,0,20,2,0,0,0,24,14,14,0.015384615384615385
MED13,0,0,1,0,16,3,0,1,0,21,14,14,0.015384615384615385
MYO3A,0,1,1,0,16,0,0,2,0,20,14,14,0.015384615384615385
HIVEP3,1,0,0,0,17,0,0,0,0,18,14,14,0.015384615384615385
SZT2,3,0,0,0,13,1,0,1,0,18,14,14,0.015384615384615385
BLM,0,0,1,0,15,1,0,0,0,17,14,14,0.015384615384615385
CHD9,1,0,0,0,16,0,0,0,0,17,14,14,0.015384615384615385
HECTD4,0,1,0,0,14,2,0,0,0,17,14,14,0.015384615384615385
KIAA0232,3,0,0,0,12,2,0,0,0,17,14,14,0.015384615384615385
LRRC7,0,0,0,0,17,0,0,0,0,17,14,14,0.015384615384615385
STAB2,1,0,0,0,12,2,0,2,0,17,14,14,0.015384615384615385
TLR4,0,1,0,0,14,2,0,0,0,17,14,14,0.015384615384615385
ADGRB3,0,0,0,0,14,2,0,0,0,16,14,14,0.015384615384615385
BRWD3,0,0,0,0,15,1,0,0,0,16,14,14,0.015384615384615385
CHD8,1,1,0,0,13,1,0,0,0,16,14,14,0.015384615384615385
COL4A5,1,1,0,0,13,1,0,0,0,16,14,14,0.015384615384615385
FASN,0,1,1,0,13,0,0,1,0,16,14,14,0.015384615384615385
ITPR1,1,0,0,0,14,1,0,0,0,16,14,14,0.015384615384615385
